id;tipoResiduo;direccion;longitud;latitud;nivelLlenado;alerta;fecha
1517391;resto;Pza. Mercurio FTE. Junta Municpal De Barajas;-3.57796317595808;40.4745326748698;0;;2021-08-02T05:41:17.000+0200
1521210;resto;Manuel Machado CV Alcalde Luis Marichalar;-3.65939877040543;40.4113557824348;6;;2021-08-02T05:18:15.000+0200
1522416;resto;Peña Gorbea N°2;-3.66887580360043;40.398386107057;2;;2021-08-02T05:58:48.000+0200
1522423;envases;Estacion Cercanias Asamblea De Madrid;-3.66818481961283;40.3818872494024;0;;2021-08-02T06:27:57.000+0200
1522705;envases;José Del Hierro N° 52;-3.64392377324389;40.4401409362563;0;;2021-08-02T06:29:25.000+0200
1522709;envases;Av. Moratalaz N°134;-3.6469082689571;40.4067884727658;0;;2021-08-02T05:36:27.000+0200
1522710;envases;Alcalá CV Av. Institución Libre Enseñanza;-3.63826355079394;40.4377219407492;4;;2021-08-02T05:23:50.000+0200
1522846;resto;Alcalá CV Av. Institución Libre Enseñanza;-3.63824331938553;40.4377268200259;0;;2021-08-02T05:57:31.000+0200
1522882;resto;Av. Marqués De Corbera N°54-56 (Metro La Elipa);-3.65095779563912;40.4262552029435;0;;2021-08-02T06:42:09.000+0200
1522886;resto;José Del Hierro N°55;-3.64289276294361;40.4408021765445;2;;2021-08-02T05:23:45.000+0200
1522889;envases;San Cipriano (Cercanías Vicalvaro/Metro Puerta De Arganda);-3.595912;40.401426;8;LLENA;2021-08-02T06:42:17.000+0200
1522968;resto;P° Alberto Palacios N°1;-3.709155138;40.34642989;0;;2021-08-01T23:41:00.000+0200
1522981;resto;Villablanca (Centro  De Salud);-3.5994917302179;40.4055559899069;6;;2021-08-02T05:38:12.000+0200
1522985;envases;Glorieta Alsacia (Metro Alsacia);-3.62309602206998;40.4176270530662;0;;2021-08-02T06:45:31.000+0200
1522982;resto;Av. Marqués De Corbera N°1-3;-3.65618501745653;40.4228480228234;2;;2021-08-02T05:31:52.000+0200
1522986;resto;San Cipriano CV Jardin De La Duquesa;-3.60452159246016;40.4040364387842;4;;2021-08-02T06:59:54.000+0200
1522987;resto;Virgen De La Alegría N°8-10;-3.6570629208609;40.4335349903157;0;;2021-08-02T06:35:07.000+0200
1522988;resto;C° De Vinateros (Centro De Salud Torito);-3.64634004005014;40.4062243409903;0;;2021-08-02T05:26:43.000+0200
1522989;resto;Pza. Cristina Arce Y Rocío Oña;-3.58722514990713;40.4551650822182;4;;2021-08-02T05:39:41.000+0200
1522991;resto;Villardondiego Biblioteca Municipal;-3.6083452242415;40.4055204736461;2;;2021-08-02T06:32:28.000+0200
1522992;envases;Av. Marqués De Corbera N°54-56 (Metro La Elipa);-3.6509436229678;40.4262409799852;0;;2021-08-02T06:51:14.000+0200
1522993;resto;José Del Hierro N°52;-3.6439097684844;40.4401445899459;4;;2021-08-02T06:20:14.000+0200
1522994;resto;Paseo Artilleros CV San Cipriano (Metro Vicalvaro);-3.60885348780109;40.4044832901686;4;;2021-08-02T06:46:19.000+0200
1522996;envases;José Del Hierro N°39;-3.64429644965743;40.4402083463916;2;;2021-08-02T05:22:40.000+0200
1522999;envases;José Del Hierro N°55;-3.64287415896386;40.4408141980418;0;;2021-08-02T05:41:59.000+0200
1523001;envases;Santillana Del Mar (Metro Alto Del Arenal);-3.64543874048201;40.3902181569538;0;;2021-08-01T07:55:40.000+0200
1523000;resto;Av. Moratalaz N°134;-3.64693327049714;40.4067942923838;2;;2021-08-02T05:27:09.000+0200
1522998;envases;P° Polideportivo (Centro Deportivo);-3.60316528125706;40.408918104979;0;;2021-08-02T06:43:58.000+0200
1522997;resto;Ascao N°4-6 (Biblioteca Pablo Neruda);-3.64170270732891;40.4296202135061;4;;2021-08-02T05:38:48.000+0200
1523003;resto;Glorieta Alsacia (Metro Alsacia);-3.62310549800046;40.4176401119883;0;;2021-08-02T05:31:10.000+0200
1523004;envases;Ascao N°4-6 (Biblioteca Pablo Neruda);-3.64171514922409;40.4296165687567;6;;2021-08-01T23:36:10.000+0200
1523007;envases;Bahía De Gando SN (Centro Comercial);-3.59281879862065;40.4651602440617;4;;2021-08-02T05:43:51.000+0200
1523006;resto;San Cipriano N°44 (Metro San Cipriano);-3.60407947000977;40.4039338683295;0;;2021-08-02T06:47:37.000+0200
1523010;envases;Virgen De La Alegría N°8-10;-3.6570799489743;40.4335217835916;8;LLENA;2021-08-02T06:47:57.000+0200
1523009;resto;Vía Dublín (Edificio Correos);-3.61389560875373;40.4626301208749;4;;2021-08-02T06:19:19.000+0200
1523008;resto;José Del Hierro N°39;-3.64431039634441;40.4401987344104;0;;2021-08-02T05:52:03.000+0200
1523112;resto;Gran Vía 78;-3.71038317254747;40.423193223939;0;;2021-08-02T05:31:11.000+0200
1523113;envases;Alcala Farola 151 (Metro Banco De España);-3.69581469960621;40.419087659414;6;;2021-08-02T05:27:58.000+0200
1523114;envases;Gran Via 28;-3.70171086319735;40.4201063289955;0;;2021-08-02T05:29:52.000+0200
1523115;envases;Gran Vía 31;-3.70388373243074;40.4200919286318;2;;2021-08-02T06:54:53.000+0200
1523116;resto;Plaza De Armeria Entre Palacio Y Catedral Junto Fla.16;-3.71377851629016;40.4162015462277;0;;2021-08-02T06:25:13.000+0200
1523117;resto;Reina Cristina;-3.68519830697748;40.4063349738407;0;;2021-08-02T05:24:28.000+0200
1523118;envases;Pz Colón Fla.58;-3.68846425727559;40.4243310693949;0;;2021-08-02T05:48:42.000+0200
1523120;resto;C/Ceraceros 1;-3.70043573209159;40.416790472918;0;;2021-08-02T05:41:34.000+0200
1523119;envases;Pendiente Reubicar. Doctor Esquerdo (Salida Metro Conde De Casal);-3.67062426151177;40.4069290766972;0;;2021-08-02T06:06:28.000+0200
1523121;resto;Josep Pla CV Lopez De Hoyos;-3.67772826379154;40.4418771591363;0;;2021-08-02T06:07:48.000+0200
1523122;resto;Juan Bravo FTE.N° 32;-3.67933286125631;40.432634050993;4;;2021-08-02T06:26:49.000+0200
1523123;envases;Sevilla 2 CV Plaza de Canalejas;-3.70027083136325;40.4167527374316;0;;2021-08-02T05:35:36.000+0200
1523125;resto;Gta. Valle Del Oro FTE. N°4;-3.73082730012135;40.388240538785;0;;2021-08-02T06:26:44.000+0200
1523127;resto;Av. Mendez Pelayo;-3.68100826744035;40.4044209341619;4;;2021-08-02T06:04:34.000+0200
1523128;resto;Alcalá 75;-3.68723272053043;40.4204691432253;0;;2021-08-02T06:35:23.000+0200
1523129;envases;Peña Gorbea Esq. Monte Igueldo;-3.66808683245111;40.396002854883;0;;2021-08-02T06:54:04.000+0200
1523130;resto;Pz Independencia 5;-3.6882311974075;40.4204375793623;4;;2021-08-02T05:31:59.000+0200
1523132;envases;Pz Manuel Becerra 8;-3.66874610939457;40.4286455798854;0;;2021-08-02T06:44:31.000+0200
1523135;resto;Gabriel Lobo 12;-3.68078451750728;40.4427679632278;0;;2021-08-02T06:25:26.000+0200
1523138;resto;Preciados Fnac FTE. Nº21;-3.70542857791385;40.4192214210498;2;;2021-08-02T06:25:23.000+0200
1523140;envases;Av. Mendez Pelayo Entrada Retiro Frente A Ibiza;-3.6790075878557;40.4182168482129;6;;2021-08-02T06:14:21.000+0200
1523139;envases;Puerta De Alcala (Tramo Entrada Del Retiro);-3.68806797544639;40.4196872814412;0;;2021-08-02T05:27:23.000+0200
1523141;resto;Príncipe De Vergara 154;-3.67767897256979;40.448583985036;0;;2021-08-02T06:00:46.000+0200
1523142;resto;Gran Vía 29 CV Chinchilla;-3.70334217212386;40.420048743269;4;;2021-08-02T06:49:00.000+0200
1523144;envases;Gran Vía 61;-3.70949321138065;40.4224240050095;0;;2021-08-02T05:36:43.000+0200
1523143;resto;Paseo Del Prado CV Felipe IV;-3.69313320685207;40.4150603556815;2;;2021-08-02T06:06:02.000+0200
1523147;envases;Peña Gorbea Esq. Puerto Alto;-3.666155781875;40.3954061637155;0;;2021-08-02T06:50:14.000+0200
1523152;resto;Gran Via 38 CV Concepción Arenal;-3.70470253741572;40.4203276891666;4;;2021-08-02T06:43:13.000+0200
1523149;resto;Peña Gorbea Esq. Puerto Alto;-3.66613997154261;40.3953836095582;6;;2021-08-02T06:29:53.000+0200
1523155;resto;Av. Bruselas 56;-3.66283076372628;40.4394178076921;2;;2021-08-02T05:46:58.000+0200
1523158;envases;Alcalá 237 (Pz Toros) Ventas Derecha Entrada Principal;-3.66259392414195;40.4314995116468;0;;2021-08-02T06:07:16.000+0200
1523159;envases;Plaza Guardia De Cors FTE. Conde Duque;-3.71056955739891;40.4271815515398;4;;2021-08-02T05:47:01.000+0200
1523162;resto;Goya 2;-3.68763660431497;40.4252930284755;0;;2021-08-02T05:27:33.000+0200
1523163;resto;Mayor CV Coloreros;-3.70692644410355;40.4163244846537;8;ERROR;2021-08-02T06:21:46.000+0200
1523164;envases;Plaza Cibeles CV Paseo Recoletos;-3.69304677937484;40.4198444071696;6;;2021-08-02T06:25:49.000+0200
1523167;resto;Av. Mendez Pelayo Entrada Retiro Frente Ibiza;-3.67901237258065;40.4182275462846;0;;2021-08-02T06:39:40.000+0200
1523168;resto;Doctor Esquerdo 40;-3.66918159547839;40.4215373300049;2;;2021-08-02T06:38:43.000+0200
1523175;envases;Puerta Del Sol (Metro/Cercanias);-3.702893552936;40.4168867002944;6;;2021-08-02T06:34:42.000+0200
1523178;resto;Plaza Cibeles;-3.69345535197372;40.4187824254974;6;;2021-08-02T06:03:04.000+0200
1523182;resto;Martinez De La Riva Esq. Carlos Martin Álvarez;-3.66425947891552;40.3880556393621;4;;2021-08-01T22:17:35.000+0200
1523184;envases;Peña Prieta Esq. Monte Oliveti;-3.66848754509938;40.3987962538023;0;;2021-08-02T06:56:58.000+0200
